Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2022-01-14 09:15:35;"Morning Workout";"Reverse Fly (Machine)";1;40;kg;10;;;;0;"";"";23h 57m
2022-01-14 09:15:35;"Morning Workout";"Reverse Fly (Machine)";2;40;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Reverse Fly (Machine)";3;40;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Reverse Fly (Machine)";4;61;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Reverse Fly (Machine)";5;54;kg;9;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Reverse Fly (Machine)";6;54;kg;8;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Reverse Fly (Machine)";7;54;kg;8;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Lateral Raise (Dumbbell)";1;6;kg;10;;;;0;"";;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Lateral Raise (Dumbbell)";2;10;kg;8;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Lateral Raise (Dumbbell)";3;10;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Lateral Raise (Dumbbell)";4;10;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Lateral Raise (Dumbbell)";5;10;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Lateral Raise (Dumbbell)";6;12;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Chest Dip";1;;;8;;;;0;"";;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Chest Dip";2;;;7;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Chest Dip";3;;;6;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Chest Dip";4;;;8;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Chest Dip";5;;;7;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Front Raise (Barbell)";1;10;kg;10;;;;0;"";;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Front Raise (Barbell)";2;15;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Front Raise (Barbell)";3;15;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Front Raise (Barbell)";4;15;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Front Raise (Barbell)";5;15;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Triceps Pushdown (Cable - Straight Bar)";1;23.75;kg;9;;;;0;"";;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Triceps Pushdown (Cable - Straight Bar)";2;23.75;kg;8;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Triceps Pushdown (Cable - Straight Bar)";3;23.75;kg;8;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Triceps Pushdown (Cable - Straight Bar)";4;23.75;kg;7;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Standing Calf Raise (Machine)";1;53;kg;1;;;;0;"";;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Cable Crunch";1;28;kg;12;;;;0;"";;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Cable Crunch";2;33.75;kg;12;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Cable Crunch";3;36.28;kg;12;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Cable Crunch";4;36.28;kg;8;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Cable Crunch";5;38.75;kg;10;;;;0;;;23h 57m
2022-01-14 09:15:35;"Morning Workout";"Cable Crunch";6;38.75;kg;12;;;;0;;;23h 57m
2022-01-15 09:14:20;"Morning Workout";"Lat Pulldown (Cable)";1;35;kg;12;;;;0;"";"";2h 11m
2022-01-15 09:14:20;"Morning Workout";"Lat Pulldown (Cable)";2;45;kg;12;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Lat Pulldown (Cable)";3;75;kg;10;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Lat Pulldown (Cable)";4;75;kg;10;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Lat Pulldown (Cable)";5;75;kg;10;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Lat Pulldown (Cable)";6;75;kg;10;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Lat Pulldown (Cable)";7;75;kg;9;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Lat Pulldown (Cable)";8;75;kg;9;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Lat Pulldown (Cable)";9;75;kg;9;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Lat Pulldown (Cable)";10;75;kg;8;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Seated Row (Cable)";1;30.5;kg;8;;;;0;"";;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Seated Row (Cable)";2;27;kg;8;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Seated Row (Cable)";3;27;kg;8;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Seated Row (Cable)";4;27;kg;9;;;;0;;;2h 11m
2022-01-15 09:14:20;"Morning Workout";"Seated Row (Cable)";5;30.5;kg;8;;;;0;;;2h 11m
