Date,Calories (kcal),Scale Body Weight (kg),Moving Average Weight (kg),Cut or Bulk
2024-03-12 00:00:00,1870,84.5,84.50,Cut
2024-03-13 00:00:00,1730,,84.50,Cut
2024-03-14 00:00:00,1926,,84.50,Cut
2024-03-15 00:00:00,1738,,84.50,Cut
2024-03-16 00:00:00,1800,84.5,84.50,Cut
2024-03-17 00:00:00,1834,84.5,84.50,Cut
2024-03-18 00:00:00,1851,,84.50,Cut
2024-03-19 00:00:00,1961,84.5,84.50,Cut
2024-03-20 00:00:00,1828,,84.50,Cut
2024-03-21 00:00:00,1795,83.9,84.38,Cut
2024-03-22 00:00:00,1797,,84.38,Cut
2024-03-23 00:00:00,1836,83.4,84.22,Cut
2024-03-24 00:00:00,2081,84.0,84.19,Cut
2024-03-25 00:00:00,1828,83.9,84.15,Cut
2024-03-26 00:00:00,1792,83.9,84.08,Cut
2024-03-27 00:00:00,1875,83.9,84.06,Cut
2024-03-28 00:00:00,1806,83.9,84.04,Cut
2024-03-29 00:00:00,1716,83.9,84.03,Cut
2024-03-30 00:00:00,1992,,83.98,Cut
2024-03-31 00:00:00,1975,83.9,83.92,Cut
2024-04-01 00:00:00,1775,83.3,83.86,Cut
2024-04-02 00:00:00,2023,83.4,83.76,Cut
2024-04-03 00:00:00,1995,,83.76,Cut
2024-04-04 00:00:00,1864,83.2,83.70,Cut
2024-04-05 00:00:00,1844,83.8,83.71,Cut
2024-04-06 00:00:00,1789,83.8,83.74,Cut
2024-04-07 00:00:00,1699,83.8,83.73,Cut
2024-04-08 00:00:00,1675,83.2,83.67,Cut
2024-04-09 00:00:00,1694,83.2,83.61,Cut
2024-04-10 00:00:00,1700,82.3,83.48,Cut
2024-04-11 00:00:00,1645,82.3,83.34,Cut
2024-04-12 00:00:00,1672,82.3,83.21,Cut
2024-04-13 00:00:00,1679,82.3,83.14,Cut
2024-04-14 00:00:00,1696,82.2,83.01,Cut
2024-04-15 00:00:00,1748,82.2,82.92,Cut
2024-04-16 00:00:00,1744,82.3,82.84,Cut
2024-04-17 00:00:00,1696,82.1,82.79,Cut
2024-04-18 00:00:00,1708,82.1,82.71,Cut
2024-04-19 00:00:00,1689,,82.62,Cut
2024-04-20 00:00:00,1774,81.9,82.48,Cut
2024-04-21 00:00:00,1775,81.6,82.31,Cut
2024-04-22 00:00:00,1656,,82.23,Cut
2024-04-23 00:00:00,1635,81.0,82.05,Cut
2024-04-24 00:00:00,1602,81.3,81.97,Cut
2024-04-25 00:00:00,1736,,81.94,Cut
2024-04-26 00:00:00,1617,81.2,81.84,Cut
2024-04-27 00:00:00,1612,81.1,81.73,Cut
2024-04-28 00:00:00,1637,,81.68,Cut
2024-04-29 00:00:00,1600,81.0,81.56,Cut
2024-04-30 00:00:00,1612,80.6,81.39,Cut
2024-05-01 00:00:00,1648,,81.31,Cut
2024-05-02 00:00:00,1981,80.2,81.10,Cut
2024-05-03 00:00:00,2098,80.2,81.01,Cut
2024-05-04 00:00:00,1991,,80.91,Cut
2024-05-05 00:00:00,1768,,80.83,Cut
2024-05-06 00:00:00,2073,79.8,80.71,Cut
2024-05-07 00:00:00,1837,79.5,80.54,Cut
2024-05-08 00:00:00,2037,,80.45,Cut
2024-05-09 00:00:00,2010,80.4,80.44,Cut
2024-05-10 00:00:00,1977,80.3,80.34,Cut
2024-05-11 00:00:00,1993,,80.25,Cut
2024-05-12 00:00:00,2517,79.4,80.16,Bulk
2024-05-13 00:00:00,2702,,80.05,Bulk
2024-05-14 00:00:00,2581,80.3,80.01,Bulk
2024-05-15 00:00:00,2576,80.3,80.04,Bulk
2024-05-16 00:00:00,2542,,80.03,Bulk
2024-05-17 00:00:00,2631,80.3,80.04,Bulk
2024-05-18 00:00:00,2596,,80.04,Bulk
2024-05-19 00:00:00,2729,,80.04,Bulk
2024-05-20 00:00:00,2672,80.4,80.11,Bulk
2024-05-21 00:00:00,2753,,80.20,Bulk
2024-05-22 00:00:00,2705,,80.20,Bulk
2024-05-23 00:00:00,2690,,80.17,Bulk
2024-05-24 00:00:00,2909,80.4,80.18,Bulk
2024-05-25 00:00:00,2715,81.3,80.34,Bulk
2024-05-26 00:00:00,2759,,80.50,Bulk
2024-05-27 00:00:00,2643,83.1,80.87,Bulk
2024-05-28 00:00:00,2196,,80.97,Bulk
2024-05-29 00:00:00,2111,,81.10,Bulk
2024-05-30 00:00:00,3552,,81.10,Bulk
2024-05-31 00:00:00,2322,,81.30,Bulk
2024-06-01 00:00:00,2442,,81.30,Bulk
2024-06-02 00:00:00,2391,81.5,81.34,Bulk
2024-06-03 00:00:00,2664,,81.58,Bulk
2024-06-04 00:00:00,2628,81.8,81.62,Bulk
2024-06-05 00:00:00,2633,,81.62,Bulk
2024-06-06 00:00:00,2649,82.3,81.73,Bulk
2024-06-07 00:00:00,2653,,82.00,Bulk
2024-06-08 00:00:00,2675,82.1,82.16,Bulk
2024-06-09 00:00:00,2722,82.0,82.13,Bulk
2024-06-10 00:00:00,2801,82.0,81.95,Bulk
2024-06-11 00:00:00,2775,,81.95,Bulk
2024-06-12 00:00:00,2824,82.1,81.97,Bulk
2024-06-13 00:00:00,2770,82.1,81.99,Bulk
2024-06-14 00:00:00,2874,82.1,82.00,Bulk
2024-06-15 00:00:00,2884,81.5,81.95,Bulk
2024-06-16 00:00:00,2750,,82.00,Bulk
2024-06-17 00:00:00,1623,82.5,82.05,Cut
2024-06-18 00:00:00,1775,82.0,82.07,Cut
2024-06-19 00:00:00,1725,,82.07,Cut
2024-06-20 00:00:00,1775,,82.04,Cut
2024-06-21 00:00:00,1790,81.7,82.01,Cut
2024-06-22 00:00:00,1769,81.0,81.90,Cut
2024-06-23 00:00:00,1684,,81.89,Cut
2024-06-24 00:00:00,1642,80.8,81.76,Cut
2024-06-25 00:00:00,1714,80.6,81.64,Cut
2024-06-26 00:00:00,1625,,81.59,Cut
2024-06-27 00:00:00,1675,,81.53,Cut
2024-06-28 00:00:00,1565,80.3,81.30,Cut
2024-06-29 00:00:00,1778,,81.27,Cut
2024-06-30 00:00:00,2068,,81.27,Cut
2024-07-01 00:00:00,1602,80.1,80.93,Cut
2024-07-02 00:00:00,1667,80.3,80.69,Cut
2024-07-03 00:00:00,1608,,80.69,Cut
2024-07-04 00:00:00,1536,79.7,80.56,Cut
2024-07-05 00:00:00,1617,79.1,80.24,Cut
2024-07-06 00:00:00,1557,79.0,79.99,Cut
2024-07-07 00:00:00,1632,,79.99,Cut
2024-07-08 00:00:00,1558,79.0,79.76,Cut
2024-07-09 00:00:00,1599,79.1,79.58,Cut
2024-07-10 00:00:00,1616,,79.58,Cut
2024-07-11 00:00:00,1706,79.0,79.51,Cut
2024-07-12 00:00:00,1662,,79.41,Cut
2024-07-13 00:00:00,1590,78.3,79.29,Cut
2024-07-14 00:00:00,1936,,79.29,Cut
2024-07-15 00:00:00,2220,,79.19,Cut
2024-07-16 00:00:00,2066,,79.03,Cut
2024-07-17 00:00:00,2134,,79.03,Cut
2024-07-18 00:00:00,2197,,78.92,Cut
2024-07-19 00:00:00,1992,,78.88,Cut
2024-07-20 00:00:00,1578,78.9,78.86,Cut
2024-07-21 00:00:00,1715,78.6,78.82,Cut
2024-07-22 00:00:00,1584,,78.78,Cut
2024-07-23 00:00:00,1659,78.1,78.58,Cut
2024-07-24 00:00:00,1890,78.0,78.48,Cut
2024-07-25 00:00:00,1681,77.8,78.28,Cut
2024-07-26 00:00:00,1554,,78.28,Cut
2024-07-27 00:00:00,1481,77.5,78.15,Cut
2024-07-28 00:00:00,1761,77.6,78.07,Cut
2024-07-29 00:00:00,1598,,78.07,Cut
2024-07-30 00:00:00,1540,77.0,77.94,Cut
2024-07-31 00:00:00,1644,76.9,77.82,Cut
2024-08-01 00:00:00,1566,,77.82,Cut
2024-08-02 00:00:00,1776,,77.82,Cut
2024-08-03 00:00:00,1603,77.0,77.61,Cut
2024-08-04 00:00:00,1806,76.6,77.39,Cut
2024-08-05 00:00:00,1566,,77.39,Cut
2024-08-06 00:00:00,1627,77.1,77.28,Cut
2024-08-07 00:00:00,1869,76.8,77.14,Cut
2024-08-08 00:00:00,1691,76.5,77.00,Cut
2024-08-09 00:00:00,1645,,77.00,Cut
2024-08-10 00:00:00,1584,76.8,76.92,Cut
2024-08-11 00:00:00,1522,76.1,76.76,Cut
2024-08-12 00:00:00,1633,,76.76,Cut
2024-08-13 00:00:00,1690,76.1,76.66,Cut
2024-08-14 00:00:00,1602,75.9,76.54,Cut
2024-08-15 00:00:00,1748,75.8,76.47,Cut
2024-08-16 00:00:00,1520,,76.47,Cut
2024-08-17 00:00:00,1888,76.3,76.40,Cut
2024-08-18 00:00:00,1687,76.1,76.35,Cut
2024-08-19 00:00:00,1661,,76.35,Cut
2024-08-20 00:00:00,1706,75.6,76.20,Cut
2024-08-21 00:00:00,1744,76.3,76.15,Cut
